## Tue Apr 16 16:00:36 2024
## emapper-2.1.12
## /software/mambaforge/bin/emapper.py --cpu 100 --data_dir /home/shared/eggnog_mapper_db/ -o flanks_eggnog_annotatation -i flanks_3kb.fasta
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
NZ_CP017479.1_2598|NZ_CP017479.1_2600	1492737.FEM08_05360	3.31e-127	363.0	2DBM4@1|root,2Z9XG@2|Bacteria,4P0W9@976|Bacteroidetes,1I8RK@117743|Flavobacteriia	976|Bacteroidetes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP017479.1_2599|NZ_CP017479.1_2600	756067.MicvaDRAFT_1919	0.000292	50.8	COG2865@1|root,COG2865@2|Bacteria,1G8DS@1117|Cyanobacteria,1HEWP@1150|Oscillatoriales	1117|Cyanobacteria	K	Putative DNA-binding domain	-	-	-	-	-	-	-	-	-	-	-	-	AlbA_2
NZ_CP017479.1_2600|NZ_CP017479.1_2600	1492737.FEM08_05340	0.0	1148.0	COG3950@1|root,COG3950@2|Bacteria	2|Bacteria	S	AAA domain, putative AbiEii toxin, Type IV TA system	-	-	-	ko:K07459	-	-	-	-	ko00000	-	-	-	AAA_15,AAA_21,AAA_23
NZ_CP017479.1_2602|NZ_CP017479.1_2600	1492737.FEM08_05330	2.69e-227	626.0	COG3239@1|root,COG3239@2|Bacteria	2|Bacteria	I	unsaturated fatty acid biosynthetic process	-	-	1.14.19.23,1.14.19.45	ko:K10255	ko02020,map02020	-	-	-	ko00000,ko00001,ko01000,ko01004	-	-	-	FA_desaturase
NZ_CP017479.1_2603|NZ_CP017479.1_2600	1492737.FEM08_05320	1.01e-170	477.0	COG0204@1|root,COG0204@2|Bacteria	2|Bacteria	I	Acyl-transferase	ypkP	-	2.3.1.51	ko:K00655	ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110	M00089	R02241,R09381	RC00004,RC00037,RC00039	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	Acyltransferase
NZ_CP012872.1_3423|NZ_CP012872.1_3426	1151119.KB895492_gene1676	1.18e-26	104.0	COG3832@1|root,COG3832@2|Bacteria,2IKRU@201174|Actinobacteria	201174|Actinobacteria	S	Activator of hsp90 atpase 1 family protein	-	-	-	-	-	-	-	-	-	-	-	-	AHSA1
NZ_CP012872.1_3424|NZ_CP012872.1_3426	931276.Cspa_c37780	3.67e-36	131.0	COG3797@1|root,COG3797@2|Bacteria,1V4KG@1239|Firmicutes,24UEG@186801|Clostridia,36HQ3@31979|Clostridiaceae	186801|Clostridia	S	Protein of unknown function (DUF1697)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1697
NZ_CP012872.1_3425|NZ_CP012872.1_3426	1120951.AUBG01000013_gene2566	3.85e-198	568.0	COG3666@1|root,COG3666@2|Bacteria,4NEDD@976|Bacteroidetes,1HYXT@117743|Flavobacteriia	976|Bacteroidetes	L	COG3666 Transposase and inactivated derivatives	-	-	-	-	-	-	-	-	-	-	-	-	DDE_Tnp_1_6,DUF772
NZ_CP012872.1_3426|NZ_CP012872.1_3426	1492737.FEM08_05340	1.47e-281	785.0	COG3950@1|root,COG3950@2|Bacteria	2|Bacteria	S	AAA domain, putative AbiEii toxin, Type IV TA system	-	-	-	ko:K07459	-	-	-	-	ko00000	-	-	-	AAA_15,AAA_21,AAA_23
NZ_CP012872.1_3428|NZ_CP012872.1_3426	1250278.JQNQ01000001_gene2954	1.09e-63	197.0	28SP6@1|root,2ZEZC@2|Bacteria,4P8UE@976|Bacteroidetes,1IBE2@117743|Flavobacteriia	976|Bacteroidetes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP124855.1_764|NZ_CP124855.1_768	1286632.P278_27000	1.65e-35	127.0	2DMZS@1|root,32UN9@2|Bacteria,4NTEC@976|Bacteroidetes,1I9GG@117743|Flavobacteriia	976|Bacteroidetes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP124855.1_765|NZ_CP124855.1_768	1461577.CCMH01000048_gene2348	8.08e-123	352.0	2ECEJ@1|root,336CU@2|Bacteria,4PNG5@976|Bacteroidetes	976|Bacteroidetes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP124855.1_766|NZ_CP124855.1_768	1461577.CCMH01000034_gene184	0.000384	42.0	2EG2M@1|root,339UK@2|Bacteria,4NZ5V@976|Bacteroidetes,1IBQ9@117743|Flavobacteriia	976|Bacteroidetes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP124855.1_768|NZ_CP124855.1_768	1492737.FEM08_05340	2.12e-299	831.0	COG3950@1|root,COG3950@2|Bacteria	2|Bacteria	S	AAA domain, putative AbiEii toxin, Type IV TA system	-	-	-	ko:K07459	-	-	-	-	ko00000	-	-	-	AAA_15,AAA_21,AAA_23
NZ_CP124855.1_770|NZ_CP124855.1_768	983544.Lacal_2869	1.21e-35	127.0	2AGPS@1|root,316XE@2|Bacteria,4P7D8@976|Bacteroidetes	976|Bacteroidetes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP124855.1_771|NZ_CP124855.1_768	1300143.CCAV010000002_gene443	4.15e-83	256.0	2BYEA@1|root,33U51@2|Bacteria,4P2UX@976|Bacteroidetes,1I8YJ@117743|Flavobacteriia,3ZRFI@59732|Chryseobacterium	976|Bacteroidetes	S	Protein of unknown function (Porph_ging)	-	-	-	-	-	-	-	-	-	-	-	-	Porph_ging
